InventoryID,ProductID,Warehouse,QuantityAvailable,ReorderLevel,LastRestocked,StorageCost
INV0001,PRD0094,Bangalore WH,811,25,2026-06-14,278.81
INV0002,PRD0026,Hyderabad WH,868,52,2025-08-19,267.73
INV0003,PRD0010,Delhi WH,254,91,2025-12-21,43.32
INV0004,PRD0097,Delhi WH,106,97,2025-10-21,187.03
INV0005,PRD0083,Mumbai WH,526,36,2026-02-15,44.5
INV0006,PRD0099,Bangalore WH,223,14,2026-07-07,207.49
INV0007,PRD0043,Hyderabad WH,377,11,2026-07-03,62.01
INV0008,PRD0019,Delhi WH,59,43,2026-01-14,210.42
INV0009,PRD0053,Chennai WH,126,87,2026-07-23,198.17
INV0010,PRD0003,Mumbai WH,608,100,2025-10-30,135.91
INV0011,PRD0065,Hyderabad WH,985,80,2026-04-26,115.3
INV0012,PRD0082,Chennai WH,650,56,2026-02-07,47.08
INV0013,PRD0052,Bangalore WH,651,92,2026-06-27,139.79
INV0014,PRD0066,Hyderabad WH,228,66,2026-07-09,237.88
INV0015,PRD0003,Bangalore WH,863,38,2025-12-19,233.53
INV0016,PRD0075,Chennai WH,353,72,2025-11-08,50.55
INV0017,PRD0002,Delhi WH,334,98,2026-03-24,101.86
INV0018,PRD0028,Chennai WH,467,33,2026-03-20,64.55
INV0019,PRD0002,Hyderabad WH,161,29,2026-03-21,70.2
INV0020,PRD0015,Mumbai WH,547,92,2026-06-29,39.1
INV0021,PRD0052,Chennai WH,779,25,2025-09-22,64.93
INV0022,PRD0090,Mumbai WH,551,12,2026-05-25,30.07
INV0023,PRD0032,Mumbai WH,613,82,2026-04-08,33.4
INV0024,PRD0027,Bangalore WH,590,76,2026-02-22,211.05
INV0025,PRD0002,Bangalore WH,309,50,2026-07-11,242.91
INV0026,PRD0088,Delhi WH,905,63,2025-11-22,15.12
INV0027,PRD0064,Chennai WH,912,61,2026-04-05,232.54
INV0028,PRD0075,Bangalore WH,186,14,2026-04-25,278.24
INV0029,PRD0011,Delhi WH,794,70,2026-08-13,217.31
INV0030,PRD0068,Mumbai WH,296,53,2026-05-23,114.47
INV0031,PRD0063,Delhi WH,398,47,2026-03-01,20.76
