SupplierID,SupplierName,Category,City,Country,ContractStart,Rating
SUP0001,"Lang, Nelson and Johnson",Office Supplies,Stewartbury,Australia,2023-12-11,4.9
SUP0002,Gaines-Snow,Packaging,Port Allisonstad,Canada,2024-10-24,3.8
SUP0003,"Reese, Jackson and Rodriguez",Office Supplies,Jenkinsmouth,Germany,2024-04-10,1.3
SUP0004,Morgan Group,Packaging,Leblancland,Germany,2022-07-24,2.4
SUP0005,"Morris, Zimmerman and Best",Packaging,Lambchester,UAE,2022-06-28,1.4
SUP0006,Frost Inc,Raw Material,North Stacy,USA,2023-01-15,3.5
SUP0007,Wilson Ltd,Logistics,Port Joseph,India,2021-01-20,3.7
SUP0008,Wright-Wood,IT Services,West Jessicamouth,Singapore,2023-09-01,2.9
SUP0009,"Cole, Wilson and Garcia",Office Supplies,West Thomas,UAE,2021-02-01,4.5
SUP0010,"Jordan, Osborn and Perry",Raw Material,South Annashire,Germany,2023-07-13,1.1
SUP0011,Brewer and Sons,IT Services,Charlesview,UAE,2023-10-11,1.2
SUP0012,Paul Group,Packaging,West Jack,UAE,2022-12-16,3.9
SUP0013,Blair LLC,Logistics,West Benjamin,Germany,2021-10-05,2.6
SUP0014,Sexton Group,Packaging,North Heatherchester,Singapore,2022-01-20,1.9
SUP0015,"Cruz, Flowers and Goodwin",IT Services,Christopherside,USA,2023-08-04,1.1
SUP0016,Jacobs-Whitaker,Electronics,Stonechester,Singapore,2024-05-28,2.5
SUP0017,Jackson PLC,Office Supplies,North Jonathan,Germany,2021-12-26,4.1
SUP0018,Newton-Skinner,IT Services,North Angela,Canada,2023-07-03,2.0
SUP0019,Hernandez Inc,Logistics,Riosbury,UAE,2021-04-01,2.2
SUP0020,"Dunn, Roberts and Dixon",Logistics,Jonesbury,India,2025-03-28,1.6
SUP0021,Crosby LLC,Electronics,Huntside,Canada,2020-11-14,4.5
SUP0022,"Bennett, Ford and Diaz",IT Services,Antonioville,UK,2024-12-22,1.4
SUP0023,Myers and Sons,Electronics,North Keith,USA,2023-11-03,3.1
SUP0024,Taylor-Sherman,Office Supplies,Port Lisaland,UAE,2025-01-13,4.0
SUP0025,Marquez-Marshall,Logistics,Lake Jennifer,USA,2021-10-21,5.0
SUP0026,Ingram Group,Electronics,West Jeffrey,UAE,2023-02-04,1.8
SUP0027,Price Ltd,Packaging,East Christopher,Australia,2024-09-14,3.6
SUP0028,Dennis-Gonzales,IT Services,Lake Michaelborough,Germany,2021-10-24,2.0
SUP0029,"Salazar, Erickson and Bruce",Raw Material,South Tamihaven,Australia,2025-07-21,3.1
